Main.Study.t,Main.Study.FileOut.abduction,Main.Study.FileOut.Ins[0],Main.Study.FileOut.Ins[1],Main.Study.FileOut.Ins[2],Main.Study.FileOut.Ori[0],Main.Study.FileOut.Ori[1],Main.Study.FileOut.Ori[2]
           4.202899e-01,           1.054786e+00,          -7.561587e-02,           1.651535e+00,           1.740466e-01,          -5.296318e-02,           1.611809e+00,           1.859980e-01
           4.347826e-01,           1.085139e+00,          -7.622840e-02,           1.652171e+00,           1.735861e-01,          -5.355522e-02,           1.612537e+00,           1.858043e-01
           4.492754e-01,           1.115493e+00,          -7.683713e-02,           1.652805e+00,           1.731214e-01,          -5.414398e-02,           1.613265e+00,           1.856054e-01
           4.637681e-01,           1.145847e+00,          -7.744202e-02,           1.653438e+00,           1.726525e-01,          -5.472937e-02,           1.613994e+00,           1.854014e-01
           4.782609e-01,           1.176200e+00,          -7.804304e-02,           1.654070e+00,           1.721793e-01,          -5.531135e-02,           1.614724e+00,           1.851924e-01
           4.927536e-01,           1.206554e+00,          -7.864017e-02,           1.654701e+00,           1.717020e-01,          -5.588985e-02,           1.615453e+00,           1.849783e-01
           5.072464e-01,           1.236907e+00,          -7.923338e-02,           1.655331e+00,           1.712205e-01,          -5.646483e-02,           1.616184e+00,           1.847592e-01
           5.217391e-01,           1.267261e+00,          -7.982266e-02,           1.655961e+00,           1.707348e-01,          -5.703625e-02,           1.616915e+00,           1.845351e-01
           5.362319e-01,           1.297614e+00,          -8.040801e-02,           1.656589e+00,           1.702449e-01,          -5.760408e-02,           1.617648e+00,           1.843060e-01
           5.507246e-01,           1.327968e+00,          -8.098941e-02,           1.657218e+00,           1.697508e-01,          -5.816827e-02,           1.618381e+00,           1.840719e-01
           5.652174e-01,           1.358321e+00,          -8.156685e-02,           1.657845e+00,           1.692526e-01,          -5.872880e-02,           1.619115e+00,           1.838329e-01
           5.797101e-01,           1.388675e+00,          -8.214034e-02,           1.658472e+00,           1.687501e-01,          -5.928562e-02,           1.619850e+00,           1.835888e-01
           5.942029e-01,           1.419029e+00,          -8.270986e-02,           1.659099e+00,           1.682435e-01,          -5.983870e-02,           1.620587e+00,           1.833399e-01
           6.086957e-01,           1.449382e+00,          -8.327540e-02,           1.659725e+00,           1.677326e-01,          -6.038801e-02,           1.621324e+00,           1.830859e-01
           6.231884e-01,           1.479736e+00,          -8.383696e-02,           1.660352e+00,           1.672176e-01,          -6.093351e-02,           1.622064e+00,           1.828270e-01
           6.376812e-01,           1.510089e+00,          -8.439452e-02,           1.660977e+00,           1.666983e-01,          -6.147515e-02,           1.622804e+00,           1.825632e-01
           6.521739e-01,           1.540443e+00,          -8.494807e-02,           1.661603e+00,           1.661748e-01,          -6.201290e-02,           1.623546e+00,           1.822944e-01
           6.666667e-01,           1.570796e+00,          -8.549758e-02,           1.662229e+00,           1.656471e-01,          -6.254670e-02,           1.624290e+00,           1.820207e-01
           6.811594e-01,           1.601150e+00,          -8.604304e-02,           1.662854e+00,           1.651152e-01,          -6.307651e-02,           1.625035e+00,           1.817420e-01
           6.956522e-01,           1.631503e+00,          -8.658443e-02,           1.663479e+00,           1.645791e-01,          -6.360228e-02,           1.625782e+00,           1.814584e-01
           7.101449e-01,           1.661857e+00,          -8.712172e-02,           1.664105e+00,           1.640388e-01,          -6.412395e-02,           1.626530e+00,           1.811698e-01
           7.246377e-01,           1.692211e+00,          -8.765489e-02,           1.664730e+00,           1.634942e-01,          -6.464147e-02,           1.627281e+00,           1.808763e-01
           7.391304e-01,           1.722564e+00,          -8.818389e-02,           1.665355e+00,           1.629455e-01,          -6.515477e-02,           1.628033e+00,           1.805778e-01
           7.536232e-01,           1.752918e+00,          -8.870870e-02,           1.665981e+00,           1.623926e-01,          -6.566378e-02,           1.628787e+00,           1.802744e-01
